X,Y,OBJECTID_1,NAME,Platform,Address,ParknRide,ParkSpaces,Zipcode,BikeLocker,BikeRack,StationTyp,Vending Machine
1438827.44,515881.0715,27,Archdale,Center,6230 South Bv,Yes,432,28217,Yes,No,Blue Line Station,Yes
1474560.163,563959.7615,28,University City Blvd,Center,7201 N Tryon St,Yes,1514,28262,Yes, Yes,Blue Line Extension Station,No
1455601.713,546150.7109,29,Parkwood,Side,401 Parkwood Ave,No,0,28206,Yes,Yes,Blue Line Extension Station,No
1439853.028,529687.7159,30,Scaleybark,Side,3750 South Bv,Yes,315,28209,Yes,Yes,Blue Line Station,Yes
1452050.845,543571.5209,31,9th Street,Side,239 E 9th St,No,0,28202,No,Yes,Blue Line Extension Station,Yes
1457468.035,547858.2934,32,25th Street,Side,2215 N Brevard St,No,0,28206,No,Yes,Blue Line Extension Station,No
1450265.186,542026.6546,33,Charlotte Transportation Center/Arena,Side,303 E. Trade St,No,0,28202,No,Yes,Blue Line Station,Yes
1470828.545,554254.7577,34,Old Concord Rd,Side,5600 Old Concord Rd,Yes,330,28213,Yes, Yes,Blue Line Extension Station,No
1479391.285,572595.0427,35,JW Clay Blvd,Center,9101 N Tryon St,Yes,803,28262,Yes,Yes,Blue Line Extension Station,Yes
1445930.589,538635.5552,36,Bland St,Side,1511 Camden Rd,No,0,28203,No,Yes,Blue Line Station,No
1437241.284,503736.7859,37,Sharon Road West,Center,8815 Crump Rd,Yes,188,28134,Yes,No,Blue Line Station,No
1441693.375,532887.8127,38,New Bern,Side,129 New Bern St,No,0,28203,Yes,Yes,Blue Line Station,No
1447231.052,539708.1927,39,Carson,Side,218 E. Carson Bv,No,0,28203,No,Yes,Blue Line Station,Yes
1482819.653,573057.0315,40,UNC Charlotte,Center,9025 Cameron Blvd,No,0,28262,No, Yes,Blue Line Extension Station,Yes
1436907.065,499259.1627,41,I-485/South Blvd,Center,9508 South Bv,Yes,1120,28273,No,Yes,Blue Line Station,Yes
1438902.425,519563.2065,42,Tyvola,Center,5703 Old Pineville Rd,Yes,465,28217,Yes,No,Blue Line Station,Yes
1451118.811,542759.3827,43,7th St,Side,260 E. 7th St,No,0,28202,No,Yes,Blue Line Station,Yes
1439051.678,509594.6252,44,Arrowood,Center,7717 England St,Yes,289,28273,Yes,No,Blue Line Station,No
1449587.731,541445.3502,45,3rd St/Convention Center,Side,305 E. 3rd St,No,0,28202,No,Yes,Blue Line Station,Yes
1460735.41,550484.9715,46,36th Street,Center,400 E 36th St,No,0,28206,Yes,Yes,Blue Line Extension Station,Yes
1472887.165,560774.389,47,Tom Hunter,Center,6501 N Tryon St,No,0,28213,Yes,Yes,Blue Line Extension Station,No
1448376.912,540591.9571,48,Brooklyn Village,Side,260 Brooklyn Village Way,No,0,28202,No,Yes,Blue Line Station,Yes
1444773.672,537332.954,49,East/West,Side,1821 Camden St,No,0,28203,No,Yes,Blue Line Station,Yes
1464783.978,551263.8315,50,Sugar Creek,Center,700 E Sugar Creek Rd,Yes,630,28205,Yes, Yes,Blue Line Extension Station,No
1438513.238,524222.4996,51,Woodlawn,Side,4756 Old Pineville Rd,Yes,382,28217,Yes,No,Blue Line Station,Yes
1477034.798,569136.6077,52, McCullough,Center,8315 N Tryon St,No,0,28262,Yes, Yes,Blue Line Extension Station,No
